Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.8414890593918727
Decision Tree,0.7359829666430092,0.501984126984127,0.6764705882352942,0.5763097949886105,0.7867188509132244
Random Forest,0.7622427253371186,0.5359116022099447,0.7780748663101604,0.6346782988004362,0.8425185357410422
Gradient Boosting,0.7906316536550745,0.6295081967213115,0.5133689839572193,0.5655375552282769,0.8392854374951562
